FIPS,wkt_geom
01001,"32.32188,-86.81123 32.32291,-86.81661 32.32618,-86.81976 32.53878,-86.90672 32.54382,-86.90765 32.55296,-86.90897 32.61635,-86.91127 32.65784,-86.91264 32.66558,-86.91239 32.71004,-86.71139 32.71052,-86.69392 32.71155,-86.60774 32.71101,-86.49925 32.71059,-86.43220 32.71033,-86.42239 32.70872,-86.41373 32.41592,-86.40605 32.41145,-86.40948 32.35047,-86.49816 32.34876,-86.50256 32.34448,-86.53040 32.32188,-86.81123"
01003,"30.22089,-88.02868 30.22417,-88.03444 30.78975,-88.02269 31.16465,-87.97309 31.19618,-87.94147 31.32709,-87.80609 31.32745,-87.79965 31.30842,-87.72131 31.30699,-87.71760 31.30557,-87.71441 31.24955,-87.61288 30.66153,-87.38943 30.65509,-87.38747 30.43836,-87.37249 30.43638,-87.37370 30.35067,-87.44720 30.34671,-87.45265 30.27856,-87.55796 30.25551,-87.65422 30.23075,-87.79275 30.22089,-88.02868"
01005,"31.62514,-85.41683 31.62608,-85.74343 31.88267,-85.66341 31.88717,-85.66158 31.88942,-85.66039 31.90330,-85.65271 31.92030,-85.64271 31.92969,-85.63686 31.94708,-85.62521 31.99069,-85.59283 32.00626,-85.58126 32.14589,-85.42710 32.15536,-85.41145 32.15244,-85.25829 32.06939,-85.05704 32.03905,-85.05168 32.03450,-85.05193 32.02814,-85.05283 31.98839,-85.06315 31.78446,-85.12510 31.71297,-85.21304 31.62514,-85.41683"
01007,"32.83201,-87.31046 32.87641,-87.41958 33.01165,-87.41985 33.13921,-87.27892 33.24097,-87.15475 33.25265,-87.05999 33.25085,-87.01833 33.05758,-86.88531 32.98561,-86.88441 32.83665,-86.88277 32.83469,-86.91669 32.83387,-86.94075 32.83276,-87.01395 32.83201,-87.31046"
01009,"33.76353,-86.58489 33.76442,-86.65725 33.81505,-86.95564 33.84354,-86.96854 33.86035,-86.96799 33.91252,-86.92091 34.25573,-86.51860 34.26012,-86.51231 34.26563,-86.47929 34.26574,-86.44869 34.26372,-86.44099 34.10494,-86.30291 33.91629,-86.33944 33.87830,-86.34762 33.87215,-86.35561 33.82217,-86.42564 33.81869,-86.43131 33.76353,-86.58489"
01011,"31.88267,-85.66341 31.88475,-85.79341 32.05604,-85.99808 32.25819,-86.00060 32.27833,-85.98833 32.30974,-85.89958 32.23964,-85.43317 32.16219,-85.41110 32.14532,-85.41142 32.02357,-85.42628 31.88267,-85.66341"
01013,"31.52862,-86.70281 31.53200,-86.84131 31.53817,-86.85132 31.55592,-86.86847 31.60933,-86.90759 31.64326,-86.91403 31.75601,-86.91526 31.96399,-86.91234 31.96687,-86.85986 31.97108,-86.44915 31.85458,-86.44332 31.83129,-86.44259 31.66808,-86.44933 31.52980,-86.50183 31.52862,-86.70281"
01015,"33.55543,-85.79537 33.58673,-85.99487 33.67836,-86.14644 33.71290,-86.14496 33.71965,-86.14246 33.85304,-86.05262 33.91827,-85.96777 33.92601,-85.95303 33.95832,-85.88007 33.96260,-85.84275 33.97052,-85.73486 33.96281,-85.62550 33.95150,-85.52023 33.94197,-85.52071 33.89215,-85.52768 33.64836,-85.63885 33.63161,-85.65513 33.55649,-85.74337 33.55543,-85.79537"
01017,"32.73122,-85.58968 33.11414,-85.59483 33.12001,-85.23355 32.78385,-85.12022 32.77926,-85.11938 32.74381,-85.12495 32.73586,-85.27350 32.73333,-85.42915 32.73122,-85.58968"
01019,"33.93866,-85.49096 33.94197,-85.52071 33.95411,-85.62372 33.97052,-85.73486 34.12406,-85.84183 34.20734,-85.84346 34.24596,-85.84220 34.50399,-85.55600 34.50875,-85.54906 34.52293,-85.51190 34.50537,-85.50792 34.29007,-85.46032 34.09255,-85.41784 34.08681,-85.41669 33.95973,-85.39579 33.93866,-85.49096"
